,_id,address,description,discoverers,late6,lnge6,location,name,player,timestamp,updated,usage,index
37,ObjectId(5d0a23fd3cba16236845ea79),"5784 US-90, Theodore, AL 36582, USA",5784 US 90,"[{""agent"":""KarKatSasha"",""team"":""ALIENS""}]",30557796,-88173738,"{""type"":""Point"",""coordinates"":[-88.173738,30.557796]}",Caring Christian Ministry,_NEUTRAL_,2020-07-19T22:55:41.952Z,2020-07-19T22:55:41.952Z,"{""timestamp"":{""$numberLong"":""1582735680719""},""plain"":1}",8866662
38,ObjectId(5c22354d816b243163184e58),"Alte Berliner Straße 20, 38165 Lehre, Germany",,"[{""agent"":""PassengerX"",""team"":""RESISTANCE""}]",52357095,10706799,"{""type"":""Point"",""coordinates"":[10.706799,52.357095]}",Kriegerdenkmal Flechtorf,SchorseJunior,2020-06-12T14:25:18.000Z,2020-07-19T08:38:42.952Z,"{""timestamp"":{""$numberLong"":""1591972039152""},""plain"":5}",1921690
39,ObjectId(5ca081d84f641bf416824a9f),"31 Maldon Rd, Witham CM8 1HN, UK",A small recreational playground in the town centre. Complete with basketball court and football goals. A chance to prove white men can jump.,"[{""agent"":""Plubly"",""team"":""ALIENS""}]",51798311,642830,"{""type"":""Point"",""coordinates"":[0.64283,51.798311]}",Town Centre Basketball Hoop,Yatesatron,2020-07-03T15:12:42.000Z,2020-07-18T22:55:17.595Z,"{""timestamp"":{""$numberLong"":""1593789162245""},""plain"":1}",8365133
40,ObjectId(5c223581816b24316327015d),"134 Beech Park, Leixlip, Co. Kildare, Ireland",Old entrance to historic Castletown house,"[{""agent"":""theloother"",""team"":""ALIENS""}]",53362213,-6525423,"{""type"":""Point"",""coordinates"":[-6.525423,53.362213]}",Leixlip Gate,_NEUTRAL_,2020-07-19T04:44:47.889Z,2020-07-19T04:44:47.889Z,"{""timestamp"":{""$numberLong"":""1490000000000""},""plain"":2}",2856572
41,ObjectId(5e2033811d69b2b9be6247cf),"Reja 11, 78-400 Szczecinek, Poland",Osiedlowa bujawka dla dzieci,[],53707157,16699825,"{""type"":""Point"",""coordinates"":[16.699825,53.707157]}",Różowa bujawka,_NEUTRAL_,2020-07-19T09:05:47.393Z,2020-07-19T09:05:47.393Z,"{""timestamp"":{""$numberLong"":""1584740298857""},""plain"":4}",10570573
42,ObjectId(5c223580816b24316326c5fe),"Jalan Hayam Wuruk No.302, Denpasar Timur, Kota Denpasar, Bali 80239, Republic of Indonesia",Mural ciamik,"[{""agent"":""BasiLy"",""team"":""RESISTANCE""}]",-8671583,115244066,"{""type"":""Point"",""coordinates"":[115.244066,-8.671583]}",Mural Ciamik,AgentNgopi,2020-07-17T17:15:06.000Z,2020-07-17T17:15:06.000Z,"{""timestamp"":{""$numberLong"":""1595006106930""},""plain"":1}",2841803
43,ObjectId(5da93907707d7a0dd36f5c8d),"County of Grande Prairie, Alberta, Canada",Inspiring responsible resource development through innovation ,[],55109322,-118758096,"{""type"":""Point"",""coordinates"":[-118.758096,55.109322]}",Evergreen Learning & Innovation Centre,_NEUTRAL_,2020-07-19T06:17:48.945Z,2020-07-19T06:17:48.945Z,"{""timestamp"":{""$numberLong"":""1490000000000""},""plain"":2}",9554427
44,ObjectId(5c223522816b2431630b8ad6),"Rua Professor Benedito Monteiro, 122-166 - Madalena, Recife - Pernambuco, Brazil","Boneco chinês
Guardião do portal","[{""agent"":""HeitorCaldas"",""team"":""ALIENS""}]",-8060089,-34903909,"{""type"":""Point"",""coordinates"":[-34.903909,-8.060089]}",Guardião de Concreto,Hyperion89,2020-06-01T18:34:56.000Z,2020-07-19T06:58:46.678Z,"{""timestamp"":{""$numberLong"":""1593642089161""},""plain"":1}",1109350
45,ObjectId(5c93ff46975ddd392397a884),"R. José Bonifácio, 289-293 - Centro, Mogi das Cruzes - SP, 08710-070, Brazil","Praça com área prioritária para pedestres, localizada em frente á catedral de Sant'ana. Também é a praça onde está localizado o obelisco de marco zero da cidade.","[{""agent"":""Originalno"",""team"":""ALIENS""}]",-23523432,-46191737,"{""type"":""Point"",""coordinates"":[-46.191737,-23.523432]}",Praça Coronel Benedito De Almeida,_NEUTRAL_,2020-07-18T12:04:20.191Z,2020-07-18T12:04:20.191Z,"{""timestamp"":{""$numberLong"":""1589631127277""},""plain"":1}",8328435
46,ObjectId(5de19acd1d69b2b9bef48e33),"Księdza Jerzego Popiełuszki 33, 20-400 Lublin, Poland",,[],51254580,22533504,"{""type"":""Point"",""coordinates"":[22.533504,51.25458]}",Drewniany Plac Zabaw Otoczony Piaskiem,diedmaroz,2020-07-17T13:12:55.000Z,2020-07-17T13:43:04.136Z,"{""timestamp"":{""$numberLong"":""1595079512698""},""plain"":6}",10076378
